claim,sorted_cord_uids
The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,"['iymmf4k6', 'vn1hdjw8', 't1wpujpm', 'vnn7lp8w', 'irtte47n', '7dx49tyq', '617zol31', 'ptnmtvzj', 'us0qpw0m', 'qsd49pvm', 'geb4esu5', '31y378jx', 'u4bmrwcx', 'aosmo568', 't8ndofla', 'kcrmi3x8', 'f7cy5oad', '7e8zlt3t', 'fdrrbr6a', 'xp10jca2', 'as9l70dn', 'myr8wrmq', 'flfnpzsd', 'g1i02b5b', 'nz8qvuw6', 'intwv8g4', 'gwm36n75', 'epccjb9b', 'ol0bj3hs', 'yjar2ctw', '2irhi9i2', 'lhgn1tf4', 'qjv4a3g3', 'aivub6mi', 'j8n06hzx', '0qh8u82c', 'txvx5fy5', 'o8f8kf7w', 'x6kogzbe', 'ygygnmgm', 'b6h9tw5o', '3zxvljfz', 'w3iis2sd', '5ijrcjgh', 'mp3qb33p', 'yv8umixu', 'h4dauvta', 'gg8hptfg', 'bk0ggrin', 'i4hyzqcv', 'hpqfaed2', 'tw4wkedo', 'lrrro5g9', 'cjq0ep4f', 'c9qs4ny7', '1ifxx7pu', 'oheezbz8', 'be3udel6', 'anen3dor', '5ze3d3rx', 'bwghyhqx', 'sokaqrkd', 'lhzcm4bt', 'cw6doi02', 'iqe6sdq2', 'tn2xfmry', 'bq0hm89l', '528p64iu', 'cmor0wkp', 'ead07dc5', 'rj5tqd4t', 'bw9lbzvt', '9idkf0i9', 'qpa6tk6v', 'rtddl5i8', 'ghc8bqgq', 'ubweank2', 'lvajofdq', 'zhm8abxd', 'vvb2ffhv', '00yaxpkp', 'qheq9lc8', 'foty1t0j', '0jyuxl09', 'x1fzgiy6', 'vachz4i9', 'lg45goe2', 'hj9x032l', '2u5zxc2i', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', 'hj9x032l', '7dq28q1x', 'ozesvnqu']"
the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,"['gwm36n75', '5wosung0', 'xv3wx4v3', '8dye7e9m', 'bujydnde', 'dbujiqb1', 'gyghpk64', '73c66c6h', 'dapk0f72', 'xvz7va8c', 'qsg18lbc', 'cloeomqq', 'cfztliqj', 'fhvkxpyf', 'ratmhsfb', 'n3xprjlp', '58va9ae8', 'l7los12i', 'w65x0q0z', 'jxbw8wl2', 'lcyv211y', 'z3teb4al', 'wfz010d5', 'su8s56qs', '74xuvaz6', 'uxs9tiuk', '35rq2kio', '1gsy43a0', 'f6vspygt', '7gylvahd', '27f9241x', '6ipzvryb', '6yhx159x', '9tlk02y6', 'rffp6qe2', 'egntml7e', 'd2wru211', 'awy3aans', 'r2744fb3', '92p8dmha', 'vk7apmtg', '0szlsvf4', '9vsi8hfx', 'pdnkvkiu', '0o3wjvpx', '8fu7w0be', 'dueignot', '3mmnl8kz', 'a8vwwpas', 'plf6zcrg', '2buj9xrh', 'vu7lwypg', '2514emrh', 'osrc4t7x', 'yfnh4ivd', 'b0k1i4wp', '9sm7iz5x', 'iyzr2cem', '1b7viy5o', 'os7ijqtr', '342thf3o', 'nr8dkals', 'osjwrlhy', 'cswpckme', 'e8mwinib', 'awi7vlp3', 'mspxtag1', '1nex7gr3', 'gm9da41n', '6ml54592', 'jc5rdiwq', 'wr9hkvd3', 'x3aegz8v', 'hu7ouxd5', 'q2l53631', 'v2w72a70', 'ah5k7v2e', 'ipm58ohm', 'd6w8fu3b', 'scj71xb9', '1mtesrzh', 'edb5546o', 'zl2url8z', 'e9sl87d2', '4bne9qup', 'sk86rbap', 'qslc2wry', 'tyabf12r', 'l565gha4', 'zriuh5q5', 'iqe6sdq2', 'y90w53xo', 'w1d2kmms', 'i8apjl7b', 'mniy2dr5', 'y9lnc45j', '7b94ysnt', 'bcd0y9c1', 'cvouxqxy', 'jdxkk438']"
Vitamin D may improve odds of survival from COVID-19.,"['fm5h7vg0', 'wn6at3bj', '27oqmd89', '145xslt9', '0kf8ad0i', '73c66c6h', 'lqrkwlnb', 'pzkg1q2x', 'bccbrwdq', 'qjvgiehe', 'q6ejrf07', 'oco58jug', 'zptie8em', 's006vxzk', 'ix7q2nxn', 'bujydnde', 'i3f24wut', '9dnyog5i', 'cloeomqq', 's7r8on6d', '7uo407nb', '3cdsep63', 'glmni128', '52ngnc7n', 'wzxorv0a', 'pznetjz2', '2ps5bgux', '6sszq7ef', '1vvx76md', 'ooed4o9u', 'lo6u1buy', '2705en59', 'r13sjgvq', 'rtkb45lx', '6ddsj014', 'rirzes0m', '27f9241x', 'c2erqns2', 'uo1p1rim', 'b5yrfllu', '84bcvgq9', '9zkwphx6', 'dwcd91yk', 'dbujiqb1', '5mz1zz2l', '58va9ae8', 'o1uu9hmm', 'bqrmshj0', 'wfz010d5', 'hj7rnng3', 'cfztliqj', 'gyh1ui55', '536u0bo4', 'omplxafd', '2npyyi5f', 'gejy21st', 'oho9mqgb', 'bzi3z1qc', 'jizfocb6', 'zofttbse', 'ke1l83wc', 'tw6f5h2q', 'kkkrkgg1', 'ruw45n81', '36z1jj8v', 'os02hlf1', 'q0dbk4im', 'xvz7va8c', '1dj91ew5', '9ru3gzdc', '01tf96ti', 'o9az7671', 'w65x0q0z', 'r0r1kvkp', 'kolvyei6', 'd2wru211', 'tgstsac6', 'vu7lwypg', 'f6vspygt', 'pkj3xy9b', 'lqdkywwa', 'dueignot', '0szlsvf4', 'zcdkohu6', '6ipzvryb', 'egntml7e', '5342lyeu', '5hck8p6n', 'obab86xg', 'vbj4ki20', 's5284unz', 'iqe6sdq2', 'pdr9tn9j', 'vitcrt09', 'vdgurndu', 'nroflfmc', 'ymcrbzha', '78ad1zwv', 'ipm58ohm', '1b7viy5o']"
VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,"['73c66c6h', '15pcopre', 'ix7q2nxn', 's26ehas6', 'c6rsstf7', 'fm5h7vg0', 'mokn3q9b', '2a11n8rm', '0wtq1c15', 'z3teb4al', 'e28bk3gq', '5fmbib30', '0bwf8f1i', 'i3f24wut', '3cdsep63', 'dbujiqb1', '68uimhq6', 'wfz010d5', '7uo407nb', 'cloeomqq', 'gejy21st', 'qsyks752', 'g5vrnn8v', 'pzkg1q2x', 'i2m8o110', 'dw4lox7j', 's006vxzk', 'z16d3rnm', 'cfztliqj', 'b6c46ebn', 'ljrc3lec', 'lqyph1au', '43i5gkqs', 'tw6f5h2q', '5rfxis6f', 'ory95tz7', 'yb03ew4a', 'surjd0al', '27f9241x', '8u0ayg9o', '58va9ae8', '6p7tvl6n', 'z6bok9n2', 'mpuovmeb', 'f6vspygt', 'iim3akyw', '6ylxsltd', 'xnpsg0ev', 'm53j5sxg', 'lo6u1buy', '86o2iard', '5342lyeu', 'qr8bzp4r', 'mvq6353a', 'e8mwinib', '35rq2kio', '92p8dmha', 'd840uu3e', 'mspxtag1', 'vu7lwypg', '09n4wfl1', 'egntml7e', 'pbl7gqkc', 'st4bf82s', 'ruw45n81', 'pdr9tn9j', 'setmifik', 'tujwrpkr', '3fdjqnhb', 'o1wd87lf', '3ajeiteq', '56a3w6xn', 'ywspvf3y', '6ipzvryb', 'nr1w9ugj', 'dc8z4jzo', '1xmz5wrm', '0szlsvf4', '30ogesr8', '71q8b31o', 'vp13ppbp', 'dueignot', 's5284unz', 'wk2jynv1', 'ipm58ohm', 'wr9hkvd3', '72md47qn', 'iqe6sdq2', 'roirw5n5', 'f7ocq6sb', '5h2wn9np', 'plf6zcrg', 'p1um6rn8', 'b5fgb9wf', 'qk5mrmrd', '1zt9l7uf', 'osjwrlhy', '70gtvarr', '8ml2ic4a', '7n3f3wrz']"
Ideal weather conditions may have helped coronavirus thrive,"['d3658hhx', 'k55cbopt', 'a97um9x5', '4tdiyl78', '13uw3dzx', 'sqnydm8c', 'he1n4ufl', '9r1agl0e', '5i9p9kpv', 'xhdqe7hh', '06y4olcv', 'r9scxa76', 'twndr9gw', 'quklubnt', 'em5d25dr', '0vlzwksu', '8n2iaogb', '8x2h70jn', '0x4zrfw3', '794ait1d', 'ghc8bqgq', 'xeq4yix4', 'vfhggdob', 'cknwhjg3', 'jdfwchpo', 'b9fjmaec', '1pujz3em', '0p480zhb', 'hra8otj5', '9jbuynvv', '04rbtmmi', 'a1tq2oyk', '1k6oegu4', '2p9j4ksy', 'wnwzmech', 'xlbkxjcv', 'meztgoiy', 'm05xy2hd', '0qaoam29', 'ibmpqwc6', 'v9y0qvdl', '35oizouh', '9vx0ikwk', 'qxluekyl', 'xyf974e2', 'd3otk32a', 'lufywkco', 'g6ngwpci', 'txxpdqca', 'u82bwjuz', 'vyfg6c9d', 'ht71fnd5', 'p92i7tlw', 'n1nh1fhu', 'igiwi96d', 'zw4issg5', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', 'a7yq1zu0', 'h26bhhw2', 'kxbhlcce', 'jx4flnik', 'i7u94gfz', 'y0t30xw3', 'jlop0lui', '82f7qf5h', '94xsyvux', 'og3myz22', '34ekacrw', 'y6ptulmy', 'g5qn8qum', 'gmlbbw9u', '2msvcc54', 'lowzv03i', 'rku2i0q5', '1xhmz5l4', 'dkv91ml4', '5iwgebvp', 'clyctbkm', 'u2w2bb2p', 's9w0dm8l', 'o2lr936b', '24pp67fw', 'trf6zyd1', '8eitzlpf', 'hb7tme7h', 'eljkuann', 'o52drs0i', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi', '04rbtmmi']"
There is no evidence taking vitamin D supplements will protect people from Covid-19.,"['qjctl8v9', '3esrmf0x', 'dbjpw9vg', 'j7e5lrjw', '8fpx3frw', '0pw0gak3', '5y8cc5eb', 's26ehas6', 'rgh1r8qt', 'vpodtbjk', '73c66c6h', 'ix7q2nxn', 'bg794oli', 'vt35xg8i', 'fckn8ld4', 'y93j3842', '4apxnusv', 'wjlyvrj8', '78d5mlp2', '0kj85fym', 'l46u0945', 'dad6hk9h', 'eas75gr6', 'qjb36hkg', '7uo407nb', 'mxvdxjnt', 'c5be70t6', 'sgmw5sf8', 'c4tqioz1', 'mhi6w4mr', '9uxfxry4', 'mvq6353a', 'rowmrr84', '5h6d1obb', '4cipqqwa', '1yknhf74', 'vsf9x7hy', '86j5nx7c', 'vp13ppbp', 'ccp7ds1e', 'e02y93f6', '58va9ae8', '82ktx84s', '968tbqo4', 'hcuxj2k7', '1h7k7m50', 'lo6u1buy', 'dueignot', 'f6lnh7or', 'wfz010d5', 'wzxorv0a', 'xvz7va8c', 'xsaj0fzu', 'egntml7e', '5b6z7cqx', 'q88g1561', 'e8mwinib', 'tyqrtvxq', '43fuh63u', 'ke1l83wc', 'uix6b0tm', 'ajla989m', '3hm7sb9v', '3tna1y5o', 'av1ev8ta', 'm3ln3nlg', '0mita7bw', 'r8ayrdg9', 'i0d4lxko', 'ruw45n81', '7h7v6abe', 'x011i6x6', 'q0tu1pja', 'gxqzf0xl', '77yvp0ff', 'fe7e60dl', '6vajr6w7', 'esotu49p', 'eu7m99a3', 'vu7lwypg', '4pij0x9q', 'ms56v9hn', '5kehtlmr', 'vngtmduv', 'zevilh3l', 'osjwrlhy', 'iyzr2cem', 'p2qouab2', 'vz0yjwg8', 'djzh602y', 'hevwcofh', 'v2w72a70', 'plf6zcrg', 'rwh56zhg', 'gjvkp6i3', 'p70ocrmc', 'u2wxxcby', '77c9f1fb', 'thkzoirr', 'wr9hkvd3']"
VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,"['73c66c6h', '15pcopre', 's26ehas6', 'gejy21st', 'y93j3842', 'dbujiqb1', 'ix7q2nxn', 'mokn3q9b', 'fm5h7vg0', '2a11n8rm', '4qxh85c0', '9f7ew8uj', '3cdsep63', '7uo407nb', 'g5vrnn8v', 'qsyks752', 's006vxzk', '0bwf8f1i', '8vnj3jsv', '0wtq1c15', 'yb03ew4a', 'i3f24wut', 'r7adauup', 'i2m8o110', 'rtkb45lx', '20ndtd87', 'z16d3rnm', 'wfz010d5', 'lqyph1au', 'cloeomqq', 'z6cp42aa', '5y15tf5v', 'mpuovmeb', '2n1i1pxk', '9dnyog5i', 'r13sjgvq', 'x4hwygcr', '58va9ae8', 'surjd0al', '86o2iard', '1h7k7m50', 'wnjuadks', 'j67rwc0i', 'wp1ls3ve', 'xnpsg0ev', 'm0myv3fi', 'hh4vqo57', '81stn7di', 'mvq6353a', '1iahn9hs', '5rfxis6f', '9m39fb88', '84bcvgq9', 'z6bok9n2', '6ylxsltd', 'p1um6rn8', 'tw6f5h2q', 'ruw45n81', '27f9241x', 'qr8bzp4r', '35rq2kio', 'lo6u1buy', 'ktm1wjvq', '43i5gkqs', '2prrjqvj', 'mrdbrkqt', 'egntml7e', 'tujwrpkr', 'kkkrkgg1', 'o1wd87lf', 'vp13ppbp', 'oljape6q', 'ywspvf3y', 'vu7lwypg', 'sn129dh5', 'ke1l83wc', 'e8mwinib', '6p7tvl6n', '1xmz5wrm', 'f6vspygt', 'pdr9tn9j', '92p8dmha', 'arrhvqwa', 'dueignot', 'plf6zcrg', '3fdjqnhb', '5342lyeu', 'e4evhd13', '71q8b31o', 'f7ocq6sb', 'lyorqurb', 'tjydn8k2', 'rwh56zhg', '56a3w6xn', 'v2jdqq0e', 'osjwrlhy', 'm53j5sxg', '6ipzvryb', '3ajeiteq', 'dc8z4jzo']"
all hand sanitizers works against covid-19 ,"['cmat0grk', 'nt3jfein', 'j8jqxcxq', 'w9mij6c6', 'wtov0a4f', 'bp15w2kj', 'ouy4i5a6', 'ycacizp1', 'bzactq0j', 'y8ntig41', 'x6fk8vqj', 'mrv8m3uy', 'yvkl78ol', '0ig32f8k', 'd5l3yefi', 'd130d5to', 'zn9bb9pi', 'td8b6fap', 'd7vpwb8h', '1zzyfmkb', 'ml2luc1t', 'mwckawp1', 'ic599zbg', '87v65ge6', 'y6jw3gws', 'qfck720q', 'vgf9lz76', 'an9g6fms', '1u12mv0o', '45jlnzie', 'xw0o5ca7', '9t66ygoj', 'r8jju5mj', 'xg1cnlot', 'zilm971i', 'gs81g1db', 'gfskwmh4', '107tikwq', 'q7f5tvgy', 'iimx8nt8', '03s9spbi', 'wyj76ab6', 'sp5irqp8', '9fuldpug', 'jrezc34u', 'j7jy3va4', '223w5rd8', 'hwhxfyes', 'bpckkcah', '3v8140b6', '9j9450kl', 'gxtob5d9', 'byffqwjd', 'sntjx76i', 'mls9i0rz', '4ng44jk8', 's949v118', '3pe3srx4', 'mq4krgxl', 'vg6o8rxw', 'cdctlduc', '2bj1xi3x', 'rffp6qe2', '92ipp5ge', 'bxkbjnhh', 'o5olu7cz', '763ycj01', 'yg7ck8tg', '453tnoyr', 'y9ezh49z', 'ev9p2apu', 'fn64o0id', 'cmaaa5j6', '0l10n9n7', 'efsc1nlw', '3572i2ki', '4lra2sih', 'uukrqp7j', '7foxfw5a', '3qbhzquj', 'gyaxcvf7', 'euu5atwo', 'lyewg2c9', 'xa95ubvs', '9miw175b', 'ih5nfztr', '2hy9c96h', '4xk1jf0v', 'finagw42', 'hrmasi62', 'pw3kr660', 'wjo6hyij', '2otax3zq', 'dzxccdrf', '9ksiyyqe', 'nbm1lbi0', 'rv2akbj8', '8u7vtvln', 'orfufwdg', 'odfssrr6']"
A central player in the fight against the novel coronavirus is our immune system.,"['mp3b9q59', 'njzjzxwh', 'noml0axi', '2mycdwst', '1u7v1nlr', 'x9laa9uk', 'fs8dn7ir', 'rvnvwe21', '4q6d048r', 'rw3w8lyo', 'mqhowppc', 'p4ckzvzz', '5hx84kki', 'sp212tai', 'fbsrggog', 'wgvbveb8', 'kdou7za8', 't8xvsj3e', 't95enkuv', 'l9mbrdej', 'abtpvam1', '4fv6xmlf', 'gf0bglm0', 'u5t2s97q', '2m08hkb7', 'h6m1otvt', 'ng1gn9e7', '066q7bhw', 'layzzqf4', 'lmrr4hde', 'rdlinzrn', 'umlz8db9', '0razl9qf', 'ueaoipgl', '7s6vtc8m', 'mmfri8wo', 'r3k3yq24', 'xet9gz1h', '2fs8oui2', 'yjwm84ub', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'lowmjj38', 'gz3stv4l', 'xmhsky0z', 'iuoesurc', '0a3gi9b6', 'o94z0ruc', 'xeq0dq6u', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'layzzqf4', 'fkfuivj3', 'lfing3be', 'yolnslsr', 'vt213u6h', 'dgyxbgvg', 'vz2d2x18', 'ojgbj1g0', 'vyci1ho3', '0ikxtf1t', 'jqrinz7l', '0yqyclxk', 'f8f2utzx', 'kksrzvuk', '9lmosfme', 'k9hasp55', 'jsyngwut', '3od9m8gh', 'du2zxq96', '9vf5is4c', 'nfkljcxg', 'l7ksr6kl', '8phped3q', 'vo6l8vy9', 'fwuerjru', 'lvyl76dt', '8veothem', '731smixj', '1qkdgxc4', '9qetwea4', 'd4sjferd', 'hq5um68k', 'efwzf2m8', 'sj4uvike', 'usrpodjx', 'zfzvbsc8', 'etb19d6y', 'l8uta7du', '92p7vc7i', 'vv3z31po', 't2b87lta', '3pq5yxty', '4ac39624']"
"Heart damage lingers in COVID-19 patients, even after recovery","['bxn63lh5', 'ru0kvkcz', 'evbqbkvw', 'mjc59cca', '8aezcyf9', '3v2z57a5', '1oudnxmt', '0t6kxk7r', 'jwjg3q55', 'r9l4nsaa', 'w88lrqhn', '4nd6gi2n', 'rhoo2k3r', 'dzf7vfig', 'kum82fvr', 'kb6tymdl', 's9vh337n', 'xnjpe1ss', 'eg84q35t', '7owmrcjc', '6qk2brax', '8ij6qkft', 'u25usodk', 'ddudwpqe', 'zlu88pgl', 'dwcd91yk', 'x0hlfq1z', '6dwpc4dv', 'x6ai0zdp', 'hxz5njp5', 'u4o0mh4y', 'svj4a7x1', 'pq37c0rs', 'c4sje2ut', '25ezat4g', 'vvgd1jpp', 'br3ahtf7', 'het7q42t', 'ufbplxv6', 'e4cxbvyt', 'gn3qwvu3', '9rg98djw', 'ckpmjqdm', 'sjv78l0y', 'zcmoygi7', 'c22p3vw6', 'biqyshoy', 'ldeiqbgi', 'kpjp0sx4', 'w3ez2ux5', '8hvve871', 'mqepmr19', 'ywbyflas', 'tnhu6blz', '4ks8vpud', 'k8kn4v5t', '1zfr32pc', '2d0632g5', 'r1pfnx34', 'tki7mrs8', 'i0pgrfy0', 'jfpy0m2t', 'se91rtt9', 'eldzj1as', 'lqdkywwa', '0whhk8bm', 'ez4kzk61', 'ax454z6a', 'p7foay4k', '1kjj0756', 'fcmzdcuh', 'rstp408i', 'intwv8g4', 'rb8uly9f', 'zstmdt4n', '1jfdz8pr', 'tymb9j8e', '27eyjedf', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'biqyshoy', 'tqvhcyuj', '6p9btua0', 'cv32u0ox', 'd7qx3vk6', 's0trc6ic', 'x5minc9s', 'ho91jupe', '4nlg26p5', 'cmkbdqbe', 'pm51q7he', '858c9uag', '5mk4jcn6', 'f1kv11co']"
